Name,Riskiness R
Technology Equity ETF List (75),0.07787562,0.2384893888165542
Industrials Equity ETF List (37),0.08800319,0.19092925236860972
Developed Markets ETF List 1 (100),0.08900129,0.18788277892900038
Energy Equity ETF List (80),0.08991559,0.20052774288919556
Healthcare Equity ETF List (49),0.09805473,0.1821708369966079
