Name,Riskiness R
Technology Equity ETF List (75),0.08794785,0.32082615738659326
Healthcare Equity ETF List (49),0.11061222,0.22015893569019512
Global ETF List (72),0.13464476,0.17699167190589363
Real Estate ETF List (48),0.14226146,0.16013113082079358
Energy Equity ETF List (80),0.15095847,0.12189210416292719
