Name,Riskiness R
Technology Equity ETF List (75),0.076393,0.2302641413505899
Industrials Equity ETF List (37),0.07679541,0.2191298707582625
Energy Equity ETF List (80),0.085056,0.19678804212703474
Healthcare Equity ETF List (49),0.08977054,0.1947470459441376
Developed Markets ETF List 1 (100),0.09528969,0.15907089981997516
