Name,Riskiness R
Technology Equity ETF List (75),0.05925053,0.30251372142078525
Junk ETF List (43),0.07477849,0.11359107374416037
Healthcare Equity ETF List (49),0.07538998,0.20723582281193614
Industrials Equity ETF List (37),0.08188318,0.16702800357318268
Global ETF List (72),0.08486171,0.20963137844993562
