CARZ,0.9999999999969313
CROP,0.0005898991285497661
DZK,0.2001516610194995
EDOM,0.14798239578300265
EFO,0.10438409978126843
EFU,0.999999999999983
FDTS,0.03813808881015435
FID,0.9308725193217658
FLM,0.0443347457717812
FPXI,0.006537162154786501
FTAG,3.906536352110165e-06
FTRI,0.0
GDXS,8.177237778016157e-207
GSD,0.0007116868036069143
HGI,0.002537086481944727
HGSD,0.023376097606512717
HSCZ,0.060142535084328125
IDMO,0.06570446358780044
IPO,0.1998858054051981
ISZE,0.00014469365463444018
PAGG,0.04969122189483397
PEX,0.027597827498346758
ROGS,9.856693562277076e-05
SCID,0.2047606083605713
SMCP,0.9999999999996521
SOIL,0.24633217880698816
TLDH,0.0017369417034075617
YLCO,0.0
